Tabelle: 46241-0006
Unfälle mit Personenschaden, Verunglückte: Deutschland,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monate, Unfalltyp/Unfallart, Ortslage, Schwere der;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verletzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;2025;;;;;;;;;;;;2026;;;;;;;;;;;
;;;;;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
;auf Autobahnen;Getötete;Unfälle mit Personenschaden;Anzahl;-;-;-;-;-;-;-;-;1;-;-;-;-;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;-;-;-;-;-;-;-;-;1;-;-;-;-;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;4;5;6;3;4;2;3;6;2;7;4;3;-;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;4;6;9;7;5;2;5;6;3;7;5;3;-;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;20;22;26;22;26;20;24;20;25;31;30;30;17;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;29;39;47;31;40;37;33;25;31;41;37;54;23;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;24;27;32;25;30;22;27;26;28;38;34;33;17;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;33;45;56;38;45;39;38;31;35;48;42;57;23;...;...;...;...;...;...;...;...;...;...;...
;Insgesamt;Getötete;Unfälle mit Personenschaden;Anzahl;22;20;26;41;26;42;25;37;42;20;21;24;13;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;22;20;29;41;29;42;26;40;42;21;23;24;13;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;389;345;569;728;763;785;718;799;707;582;493;380;238;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;435;396;617;799;853;871;781;874;789;641;559;432;274;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;3259;2854;4025;4585;5218;5551;5217;4743;5230;4635;4280;3514;2490;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;4291;3755;5241;5916;6621;7153;6613;6094;6567;5919;5496;4571;3384;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;3670;3219;4620;5354;6007;6378;5960;5579;5979;5237;4794;3918;2741;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;4748;4171;5887;6756;7503;8066;7420;7008;7398;6581;6078;5027;3671;...;...;...;...;...;...;...;...;...;...;...
Überschreiten-Unfall;innerorts;Getötete;Unfälle mit Personenschaden;Anzahl;25;10;14;7;12;13;10;14;9;17;21;25;15;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;25;10;14;7;12;13;10;14;9;17;21;25;15;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;263;192;193;191;192;214;164;144;214;191;232;222;178;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;267;197;198;193;194;218;169;148;218;193;235;226;185;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;832;648;748;757;785;743;736;619;713;743;903;760;653;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;937;726;850;886;931;881;930;719;823;852;1031;860;719;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;1120;850;955;955;989;970;910;777;936;951;1156;1007;846;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;1229;933;1062;1086;1137;1112;1109;881;1050;1062;1287;1111;919;...;...;...;...;...;...;...;...;...;...;...
;außerorts (ohne Autobahnen);Getötete;Unfälle mit Personenschaden;Anzahl;3;4;3;4;1;2;4;1;3;6;7;4;2;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;3;4;3;4;1;3;4;1;3;6;7;4;2;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;9;6;16;11;6;6;6;8;15;11;10;18;6;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;9;6;18;11;6;6;7;8;15;11;12;18;6;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;17;16;17;13;13;23;20;20;17;14;19;16;12;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;19;21;23;15;14;34;29;35;22;20;25;20;13;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;29;26;36;28;20;31;30;29;35;31;36;38;20;...;...;...;...;...;...;...;...;...;...;...
