OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;USTRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
48;01210129161013512021;01;0;53;100;2021;01;19;6;3;8;1;2;2;0;1;0;0;0;0;618075.171740812249482;5949150.660221673548222;10.787620331000028;53.677727054000059
49;01210521171013442021;01;0;56;036;2021;05;15;6;3;4;6;0;0;0;1;0;1;0;0;544731.383770026266575;5947747.738457273691893;9.677171857000076;53.676543946000038
50;01210420171013912021;01;0;60;007;2021;04;10;3;3;2;2;0;0;0;1;0;0;0;0;578647.109262983314693;5975409.411657774820924;10.197575449000055;53.921116320000067
51;01210426105132082021;01;0;58;081;2021;04;11;2;3;3;6;0;0;0;1;0;0;0;1;542766.458922922611237;6025980.650882337242365;9.658442378000075;54.379810384000052
52;01210510152013912021;01;0;55;039;2021;05;14;2;3;8;1;0;0;1;0;0;0;0;0;616224.358516807667911;5993925.993023173883557;10.776589830000034;54.080395275000058
53;01210112145013362021;01;0;58;130;2021;01;00;3;2;9;1;2;1;1;0;0;0;0;0;563938.391490930691361;6020607.890248633921146;9.983212522000031;54.329313044000060
54;01210318145013512021;01;0;58;077;2021;03;10;5;3;8;1;0;0;0;0;0;0;1;0;542590.423000000417233;5992011.112999793142080;9.650911759000053;54.074541194000062
55;01210118134013632021;01;0;02;000;2021;01;10;2;3;5;3;0;1;1;1;0;0;0;0;572743.734000005759299;6019939.212999805808067;10.118426790000058;54.322125392000032
56;01210222171013272021;01;0;56;047;2021;02;15;2;3;0;7;0;0;1;0;0;0;0;0;556599.149000002071261;5948772.971999766305089;9.857000815000049;53.684607666000034
57;01210614161013502021;01;0;53;002;2021;06;07;2;3;4;6;0;0;0;1;0;0;0;1;609624.524516386911273;5943985.768019001930952;10.657919297000035;53.633163079000042
58;01210604125013202021;01;0;01;000;2021;06;18;6;3;5;3;0;0;1;0;0;0;0;1;525753.193618441931903;6067876.085283726453781;9.400182391000044;54.757462498000052
59;01210412105132272021;01;0;60;070;2021;04;15;2;3;2;6;0;0;0;1;0;0;1;0;582948.143787519074976;5979547.459564484655857;10.264174831000048;53.957629241000063
60;01210515105132972021;01;0;62;008;2021;05;21;7;3;7;7;1;0;0;1;0;0;0;0;596702.338893197476864;5963868.743641108274460;10.468777729000067;53.814365987000031
61;01210502105132002021;01;0;59;159;2021;05;12;1;3;9;1;0;1;0;1;0;0;0;0;528180.289750400930643;6055494.182449083775282;9.436699347000058;54.646060958000078
62;01210316152013862022;01;0;55;021;2021;03;07;3;3;6;3;0;1;0;1;1;0;0;0;629647.573000097647309;6026183.666999610140920;10.995575150000036;54.366935353000031
63;01210309134013172021;01;0;57;068;2021;03;12;3;3;2;2;0;0;0;1;0;0;0;0;577599.759167809039354;5992145.997149866074324;10.185897885000031;54.071669278000059
64;01210608171013092021;01;0;60;063;2021;06;10;3;3;5;2;0;0;1;1;0;0;0;0;565043.432338846847415;5948572.615837717428803;9.984799207000037;53.681824096000071
65;01210601134013922021;01;0;02;000;2021;06;13;3;3;5;3;0;0;1;0;0;0;1;0;573605.982084766030312;6022981.657232197001576;10.132431982000071;54.349340156000039
66;01210525105132602021;01;0;55;037;2021;05;05;3;3;8;7;1;1;0;1;0;0;0;0;622978.148385085165501;6004394.684539487585425;10.884030334000045;54.172865976000082
67;01210528161013712021;01;0;53;083;2021;05;08;6;3;6;4;0;0;0;1;1;0;0;0;603105.555317342281342;5914992.894883036613464;10.549836757000037;53.373976410000068
68;01210323134013542021;01;0;02;000;2021;03;05;3;3;5;3;1;0;1;1;0;0;0;0;571809.358680997975171;6021819.488808181136847;10.104516552000064;54.339153374000034
69;01210331161013192022;01;0;53;032;2021;03;18;4;3;0;7;0;0;1;0;0;0;0;0;590848.779530165717006;5923791.989988764747977;10.368195568000033;53.455296606000047
70;01210126134013292021;01;0;57;001;2021;01;13;3;2;2;2;0;0;0;1;0;0;0;0;588417.838399468921125;6001307.709699461236596;10.353854538000064;54.152246507000029
71;01210228171013452021;01;0;56;050;2021;02;14;1;3;0;1;0;0;0;0;0;1;0;0;547250.548895525746047;5937296.082890331745148;9.713718437000068;53.582385118000047
72;01210520125013042021;01;0;59;107;2021;05;13;5;1;2;2;0;0;0;1;0;0;0;1;522711.560126104392111;6051467.336790628731251;9.351642202000050;54.610148348000052
73;01210419134013052021;01;0;02;000;2021;04;22;2;3;0;1;2;0;1;0;0;0;0;0;573729.400710595771670;6019168.746458586305380;10.133387724000045;54.315060819000053
74;01210423134013332021;01;0;57;022;2021;04;15;6;3;5;2;0;0;0;1;0;1;0;0;597577.281000026501715;6008931.186999784782529;10.496525710000071;54.219082028000059
75;01210508171013832021;01;0;56;039;2021;05;18;7;2;2;6;0;0;0;1;0;0;0;0;550967.433220188133419;5945850.903072880581021;9.771256884000024;53.658925012000054
76;01210108161013932021;01;0;62;082;2021;01;05;6;3;2;6;2;1;0;1;0;0;0;0;591277.142391782253981;5941665.768988378345966;10.379857651000066;53.615836689000048
77;01210210134013502021;01;0;02;000;2021;02;10;4;3;6;4;0;1;1;0;1;0;0;0;573625.519833193160594;6020854.250520605593920;10.132207055000038;54.330221203000065
78;01210220152013062021;01;0;55;028;2021;02;09;7;3;2;6;0;0;0;1;0;0;0;0;601994.959602216258645;6004594.790829531848431;10.562780565000025;54.179262431000041
79;01210614134013872021;01;0;02;000;2021;06;09;2;2;6;4;0;0;0;1;1;0;0;0;570164.727603602223098;6019599.256588911637664;10.078702850000070;54.319431594000037
80;01210603161013822021;01;0;53;002;2021;06;08;5;3;5;2;0;0;1;1;0;0;0;0;610542.432926108129323;5942690.282640488818288;10.671334837000074;53.621330575000059
81;01210430171013462021;01;0;56;041;2021;04;09;6;3;2;6;0;0;0;1;0;0;0;0;558384.121721317060292;5955983.519916441291571;9.885384570000042;53.749214411000082
82;01210313134013892021;01;0;02;000;2021;03;13;7;3;2;6;0;1;0;1;0;0;0;0;572297.938157398253679;6021188.567383484914899;10.111876956000060;54.333415087000049
83;01210202134013652021;01;0;02;000;2021;02;01;3;3;8;1;2;1;0;1;0;0;0;0;572788.467175739817321;6018093.801500266417861;10.118664506000073;54.305536644000028
84;01210306105132822021;01;0;62;009;2021;03;21;7;3;2;6;2;0;0;1;0;0;0;1;583708.088133333250880;5935837.281590672209859;10.263902447000021;53.564724195000053
85;01210607134013372021;01;0;02;000;2021;06;15;2;3;5;2;0;0;1;1;0;0;0;0;573007.607347189448774;6019701.378524454310536;10.122424769000077;54.319950611000081
86;01210523181013702021;01;0;61;031;2021;05;16;1;3;9;7;0;1;0;0;0;1;0;0;521779.652711160480976;5985858.286806339398026;9.332426719000068;54.020541813000079
87;01210408105132632021;01;0;55;037;2021;04;18;5;3;9;7;0;0;0;1;0;0;0;0;619692.138291307725012;5999532.976216290146112;10.831787657000064;54.129969564000078
88;01210511161013452021;01;0;53;100;2021;05;16;3;3;2;6;0;0;0;1;0;0;0;0;618042.303161416202784;5950842.053861653432250;10.787766662000024;53.692929983000056
89;01210321171013772021;01;0;56;020;2021;03;12;1;3;0;7;0;0;1;0;0;0;0;0;538412.757785924710333;5943664.882356388494372;9.581017514000052;53.640349972000081
90;01210124181013442021;01;0;51;054;2021;01;06;1;2;9;1;2;1;0;1;0;0;0;0;519574.093773779459298;6003962.036286368966103;9.299935163000043;54.183340176000058
91;01210225152013812021;01;0;03;000;2021;02;13;5;3;0;2;0;0;1;1;0;0;0;0;611151.133832712657750;5968320.642156351357698;10.689746752000076;53.851475766000078
92;01210303152013802021;01;0;55;001;2021;03;13;4;2;4;6;0;1;0;1;0;0;0;1;604649.516080242581666;5979954.248269673436880;10.594928386000049;53.957349664000049
93;01210531145013672021;01;0;58;028;2021;05;15;2;3;0;7;0;0;0;0;0;1;0;0;558013.975555212236941;6019549.891667684540153;9.891916948000073;54.320513374000029
94;01210416145013162021;01;0;04;000;2021;04;15;6;3;6;4;0;0;0;1;1;0;0;0;563285.566397187300026;5991185.742267927154899;9.966982775000076;54.064997232000053
95;01210505125013392021;01;0;54;148;2021;05;13;4;3;5;3;0;1;0;1;0;0;0;0;486865.845999999903142;6016837.876999808475375;8.798179676000075;54.299267058000055
96;01210206134013052021;01;0;02;000;2021;02;21;7;3;2;6;2;0;0;1;0;0;0;0;577438.095699181780219;6020750.772128831595182;10.190795987000058;54.328727127000036
97;01210216161013472021;01;0;62;001;2021;02;23;3;3;8;1;2;1;0;1;0;0;0;0;581989.279845258221030;5948853.033596811816096;10.241384903000039;53.681960036000078
98;01210612125013042021;01;0;54;075;2021;06;07;7;3;8;1;0;0;0;1;0;0;0;0;492530.507184777408838;6058970.251073276624084;8.884157498000036;54.678031919000034
99;01210602134013372021;01;0;02;000;2021;06;17;4;3;0;7;0;0;1;0;0;0;0;0;573701.964538886211812;6021673.800670078024268;10.133584920000033;54.337574365000080
100;01210101105132952021;01;0;58;169;2021;01;14;6;3;8;1;0;1;0;1;0;0;0;0;560445.838944763876498;5991531.859363973140717;9.923668068000040;54.068448599000078
101;01210427181013042021;01;0;51;044;2021;04;17;3;3;2;6;0;0;0;1;0;0;0;0;507537.115775699727237;6005482.010973118245602;9.115530566000075;54.197319151000045
102;01210327171013682021;01;0;56;028;2021;03;16;7;3;2;6;0;0;0;1;0;0;0;0;545876.851000001654029;5942014.777999764308333;9.693665025000030;53.624918043000037
103;01210406105132752021;01;0;53;076;2021;04;19;3;3;9;1;0;1;0;1;0;0;0;0;585423.903274518437684;5936182.149193413555622;10.289896581000050;53.567546783000068
104;01210201161013192021;01;0;62;004;2021;02;13;2;3;2;6;0;0;0;1;0;0;0;0;588335.145646232180297;5961984.115674821659923;10.341190866000034;53.798919805000082
105;01210606145013182021;01;0;58;053;2021;06;10;1;3;0;7;0;0;0;0;0;0;0;1;570052.642290816642344;6010841.588205888867378;10.074929372000042;54.240751361000036
106;01210521105132482021;01;0;60;041;2021;05;15;6;3;2;6;0;0;0;1;0;0;0;0;583703.865868759341538;5974794.529200829565525;10.274387050000030;53.914798703000031
107;01210425134013242021;01;0;02;000;2021;04;13;1;2;0;7;0;0;0;0;0;0;0;1;574131.941554798744619;6021433.733889730647206;10.140137115000073;54.335354918000064
108;01210511125013252021;01;0;01;000;2021;05;07;3;3;5;2;1;1;1;1;0;0;0;1;529270.169922586530447;6072859.971505030989647;9.455334154000070;54.802057419000050
109;01210318125013332021;01;0;01;000;2021;03;16;5;3;5;3;0;0;0;1;0;0;0;0;528022.329000000841916;6068072.934999834746122;9.435460696000064;54.759110044000067
110;01210121105132672021;01;0;57;080;2021;01;06;5;3;1;5;2;1;0;0;0;0;1;1;579405.108710913918912;5997691.287207186222076;10.214936315000045;54.121222790000047
111;01210221161013332021;01;0;53;136;2021;02;14;1;3;3;6;0;0;0;1;0;1;0;0;622151.830211740918458;5950966.480255698785186;10.850019938000059;53.693103005000069
112;01210615125013862021;01;0;59;075;2021;06;07;3;3;0;6;0;0;1;0;0;0;0;1;536524.728285999968648;6040948.623677385970950;9.564195013000074;54.514810522000062
113;01210605181013742021;01;0;61;118;2021;06;18;7;2;3;6;0;0;1;0;0;0;0;0;530629.692726084031165;5953770.306914715096354;9.464296516000047;53.731691915000056
114;01210412181013372021;01;0;61;044;2021;04;09;2;3;5;3;0;0;1;0;0;0;1;0;541710.705000000074506;5960402.746999775990844;9.633152990000042;53.790534070000035
115;01210514161013512021;01;0;62;004;2021;05;11;6;3;5;3;0;1;1;1;0;0;0;0;589290.856545045040548;5962260.894578719511628;10.355777191000072;53.801243734000082
116;01210501171013542021;01;0;60;004;2021;05;14;7;2;0;7;0;0;0;0;0;1;0;0;560031.806616070680320;5975733.255063107237220;9.914226015000054;53.926518550000026
117;01210214161013282021;01;0;53;003;2021;02;19;1;2;2;6;2;0;0;1;0;0;0;0;590030.529718418605626;5930182.624570727348328;10.357709132000025;53.512864412000056
118;01210609171013592021;01;0;60;059;2021;06;13;4;3;2;6;0;0;0;1;0;0;0;0;582238.080134707503021;5981751.991922168061137;10.253950522000025;53.977552119000052
119;01210601134013192021;01;0;57;074;2021;06;20;3;3;2;6;0;0;0;1;0;0;0;0;579486.952000009827316;6021959.591999804601073;10.222616439000035;54.339273832000060
120;01210527134013832021;01;0;02;000;2021;05;15;5;3;8;7;0;0;1;0;0;0;0;0;570716.878673207946122;6017382.094954000785947;10.086664846000076;54.299432364000040
121;01210530134013892021;01;0;57;001;2021;05;17;1;3;2;6;0;0;0;1;0;1;0;0;588621.844018366187811;6001443.294306216761470;10.357017158000076;54.153429602000074
122;01210326125013022021;01;0;01;000;2021;03;05;6;3;5;2;1;0;0;1;0;0;0;0;527295.783999999053776;6072487.990999843925238;9.424586040000065;54.798825965000049
123;01210402134013452021;01;0;57;090;2021;04;06;6;3;8;1;0;0;0;1;0;0;0;0;590325.764485194347799;6020248.984871456399560;10.388762958000029;54.322100590000048
124;01210130105132792021;01;0;53;037;2021;01;00;7;3;8;1;2;2;0;1;0;0;0;0;612833.878863554447889;5934391.658880932256579;10.702962981000042;53.546282390000044
125;01210302161013462021;01;0;53;090;2021;03;15;3;3;9;1;0;0;0;1;0;0;0;0;612361.745226850733161;5945242.171712506562471;10.699750051000024;53.643870905000028
126;01210520125013922021;01;0;59;075;2021;05;09;5;3;5;3;0;0;1;1;0;0;0;0;535087.288993372581899;6040247.741022191941738;9.541908735000050;54.508613409000077
127;01210418181013272021;01;0;51;058;2021;04;14;1;3;5;3;0;0;0;1;0;0;0;0;498225.117174209095538;6018018.207514023408294;8.972719922000067;54.310040976000039
128;01210113105132052021;01;0;58;128;2021;01;03;4;3;3;1;2;2;0;1;0;0;1;0;561051.106623004190624;5986211.665164863690734;9.931845543000065;54.020566462000033
129;01210423134013912021;01;0;02;000;2021;04;00;6;2;5;3;2;0;1;1;0;0;0;0;572524.207286640070379;6018338.676693387329578;10.114663483000072;54.307774622000068
130;01210509125013322021;01;0;54;103;2021;05;13;1;3;0;7;0;0;1;0;0;0;0;0;479239.919999999925494;6040841.212999824434519;8.679322170000034;54.514736068000047
131;01210112161013812021;01;0;62;006;2021;01;20;3;3;8;1;2;2;0;1;0;0;0;0;585052.767337574623525;5954702.470476210117340;10.289362174000075;53.734033919000069
132;01210316134013482021;01;0;57;022;2021;03;08;3;3;5;3;0;1;0;1;0;0;0;0;594566.294518633745611;6004672.695018062368035;10.449023848000024;54.181385114000079
133;01210119145013622021;01;0;04;000;2021;01;17;3;3;5;3;2;1;1;1;0;0;0;0;564462.028115406632423;5992271.129315808415413;9.985186710000050;54.074605217000055
134;01210219152013902021;01;0;55;032;2021;02;12;6;3;5;2;0;0;1;1;0;0;0;0;618568.697265066206455;5996728.275023635476828;10.813503374000049;54.105034602000046
135;01210613161013832021;01;0;53;090;2021;06;20;1;3;4;6;0;0;1;0;0;0;0;1;611127.651637601666152;5942116.576385416090488;10.679974098000059;53.616052191000051
136;01210604152013822021;01;0;55;044;2021;06;15;6;3;2;6;0;0;0;1;0;0;0;0;610305.129088663496077;5987554.920310510322452;10.683837076000032;54.024459627000056
137;01210408152013872021;01;0;55;043;2021;04;19;5;3;8;7;0;0;0;1;0;0;0;0;613773.510117572732270;6013640.768907465040684;10.746592318000069;54.258050218000051
138;01210513181013632021;01;0;51;114;2021;05;15;5;3;9;1;0;1;0;1;0;0;0;0;519374.707560739479959;6008769.051473902538419;9.297189893000052;54.226550737000082
139;01210429152013732021;01;0;55;044;2021;04;11;5;3;2;2;0;1;0;1;0;0;0;1;606905.601000039838254;5989050.451999748125672;10.632492351000053;54.038611207000031
140;01210315152013242021;01;0;03;000;2021;03;15;2;3;5;3;0;1;0;1;0;0;0;0;607946.563000041991472;5967306.863999739289284;10.640696138000067;53.843043468000076
141;01210204134013352021;01;0;02;000;2021;02;15;5;3;6;4;0;1;0;1;0;0;0;1;573231.125676681287587;6022073.035884084179997;10.126442739000026;54.341229560000045
142;01210311105132632021;01;0;58;049;2021;03;08;5;3;9;7;0;1;0;1;0;0;0;0;554218.027000967413187;6009762.340362712740898;9.831791013000043;54.232974306000074
143;01210608152013532021;01;0;03;000;2021;06;20;3;3;0;2;0;0;1;1;0;0;0;0;611645.840995929203928;5969821.886154411360621;10.697809813000049;53.864857107000034
144;01210611125013802021;01;0;54;056;2021;06;15;6;3;5;3;0;0;1;1;0;0;0;0;503132.005217238329351;6037522.973460422828794;9.048344814000075;54.485329973000034
145;01210524152013802021;01;0;55;012;2021;05;13;2;3;0;7;0;0;0;0;0;1;0;0;606233.855320842005312;5999051.281495889648795;10.625747884000077;54.128599227000052
146;01210529145013812021;01;0;58;107;2021;05;11;7;2;9;7;0;0;1;0;0;0;0;0;570802.225483248941600;6016160.477460607886314;10.087686710000071;54.288443266000058
